eTFC1	eTFC2	eTFC3	eTFC4	eTFC5	eTHC1	eTHC2	eTHC3	eTHC4	eTHC5	lTFC1	lTFC2	lTFC3	lTFC4	lTFC5	lTHC1	lTHC2	lTHC3	lTHC4	lTHC5
ZFHX3	-0.779108006156482	-1.02204679780501	0.650165932230817	0.834593562324375	0.316395309406301	-0.744495695678872	-0.455182410795526	0.413301419431067	0.156773369854506	0.629603317188824	-1.10807548605729	-0.500239208243791	0.069417598758152	0.712043689607961	0.826853405934972	-0.358396124826471	-0.376549695281374	0.0259943799884792	0.393518221292477	0.315433218826889
ZFAND5	-0.63377092469084	-0.0342394173907898	-0.201967874867549	-0.200985453132791	1.07096367008198	-0.405591595612089	-0.560924046209148	0.316647263663134	-0.133192600783115	0.78306097894122	0.0985039711101017	0.213110037459193	-0.82886173073914	0.165445478536059	0.351802243633786	0.52582508716619	0.130155198485882	-0.281492635495352	-0.393981884839929	0.0194942346832097
ZEB2	-1.08895605898819	-0.989635623361864	0.12367257247977	1.36268880766211	0.592230302208171	-1.60792381506032	-0.484329756540935	0.330310282499882	0.989472416888787	0.77247087221259	-0.509200828458507	0.0620975214993358	0.130853722098246	0.48664191863806	-0.170392333777132	-0.482678523357229	-0.738959544012856	0.100428482645913	0.193283267103181	0.927926317620992
ZEB1	-0.480344604729686	-0.991568406649566	0.189656102914484	0.574819340309625	0.707437568155144	-0.504626333749023	-0.110759804015314	0.194488194616046	0.297874362140693	0.123023581007597	0.357831396277843	0.281433863413375	0.716792540595889	-0.253864329047322	-1.10219347123978	0.588405731365383	0.396241622363013	0.309227097489075	-0.548490812894753	-0.745383638322719
ZDHHC8	0.281781180391407	0.202090926157271	0.558306792883404	-0.190147691538615	-0.852031207893466	0.482100754397655	0.323746179050921	0.00388397252396055	-0.35095541388435	-0.458775492088187	-0.163695702459387	0.0276726569557511	0.408138792059103	-0.110009027479106	-0.162106719076362	0.285925028132681	0.498765417532091	-0.31795742800993	-0.521096982081732	0.054363964426889
ZDHHC13	-0.117998400008577	0.0721613333348481	-0.0105502068546324	0.119090278458621	-0.0627030049302606	-0.162613457994789	-0.0448679960280565	-0.00435619004376608	0.003218633318542	0.208619010748069	0.169427117339007	-0.193597003155795	-0.109749171708912	-0.175388357720285	0.309307415245986	-0.0473104325975449	-0.0633228718615149	0.120042968394825	-0.14928967355048	0.139880009614715
ZC3H7A	-0.493290484676839	-0.422508047129046	0.234642010078105	0.343673441624295	0.337483080103485	-0.276970192981333	-0.185850350213912	0.039753826868508	0.0724018370938841	0.350664879232854	-0.196592934654798	0.0838140601115391	-0.148376327768134	0.236474869041653	0.0246803332697416	-0.199641007232768	0.0608899777678413	-0.121779493812777	-0.0344612899641401	0.294991813241844
ZC3H18	0.0084472202712238	-0.578164369419147	0.441315778252571	0.0796003167868236	0.0488010541085266	0.093299184295633	0.321855230557167	-0.486041187031132	-0.0297444912480831	0.100631263426417	-0.258449269252623	-0.171368587308409	0.112186897081051	0.193097377533727	0.124533581946253	0.101776485689834	-0.0371087260341287	0.17068811593726	-0.229778592197418	-0.00557728339554586
ZBTB34	-0.789034200219852	-1.0543138463162	0.917862175396088	0.486226249057824	0.439259622082142	0.0154038005638766	-0.0593630989889791	0.0908194788712189	0.095891604766158	-0.142751785212273	-0.219061523705168	-0.105124104143492	-0.233072517124158	0.505246566376448	0.0520115785963702	-0.186522624562529	0.457678926101228	0.0101018201317196	-0.104768628662256	-0.176489493008164
ZBTB20	-0.140693381791753	-0.140693381791753	0.562773527167012	-0.140693381791753	-0.140693381791753	0.390580216600892	-0.0976450541502231	-0.0976450541502231	-0.0976450541502231	-0.0976450541502231	-0.289825930424499	0.47251385208721	-0.289825930424499	0.396963939186287	-0.289825930424499	-0.140704589974883	-0.140704589974883	-0.140704589974883	0.562818359899533	-0.140704589974883
