eOFC2	eOFC3	eOFC4	eOHC1	eOHC2	eOHC3	eOHC4	eOHC5	lOFC2	lOFC3	lOFC4	lOHC1	lOHC2	lOHC3	lOHC4	lOHC5
ZBTB20	-0.0795794864745147	0.0382592678734556	0.0413202186010592	0.00360555278094571	-0.372935645496215	0.086452894848448	0.139592476659048	0.143284721207773	0.317520692950807	0.0950107526474086	-0.412531445598215	-0.276284048606976	-0.276284048606976	0.337720821894879	-0.276284048606976	0.491131323926048
ZBTB17	-0.293143155380372	0.370357201594587	-0.0772140462142126	-0.556475652032654	1.06211641747624	-0.388755028263695	-0.851049636645627	0.734163899465736	0.472991641957956	-0.534735654452088	0.0617440124941346	-0.0583999579848218	0.631507286538865	0.826962125577172	0.0269822302684357	-1.42705168439965
YWHAZ	-0.175725902599538	-0.336261444862112	0.511987347461652	0.462346712336512	-0.150250521632325	1.56929242682215	-0.380366023737471	-1.50102259378887	-0.842167805543612	0.79235687759898	0.0498109279446339	-1.48436973389964	0.185987099281654	1.08892276285553	0.184910055697912	0.0245498160645283
YWHAQ	0.528899100236906	-0.711900070452831	0.183000970215929	1.11574881474775	0.382987735969259	0.702205870677929	-1.20130088482869	-0.999641536566255	-0.63389178523688	1.15353121565413	-0.51963943041725	0.911068957377402	-0.322897366914667	0.674501089565936	-1.05219907846344	-0.210473601565223
YWHAH	0.257926726827042	0.690745803643773	-0.948672530470818	-0.333488340080223	-0.875862032218059	0.0494700907973922	1.01002582746796	0.14985445403293	0.550986767504817	-0.58989235446831	0.0389055869634927	-1.48575500620868	-0.261974084405395	0.679396999208876	0.855716010094397	0.212616081310792
YWHAE	-0.31848481191993	1.12567326060664	-0.807188448686716	-0.27919527581372	0.289286401803388	2.26401972218876	0.495593537153951	-2.76970438533239	0.0873467630030049	0.310576139718499	-0.397922902721497	-0.851059648407194	0.238252486918853	1.01689156725885	-0.537476159477016	0.133391753706512
YBX1	-1.40804751030375	-0.0700637078279698	1.47811121813172	1.69131764920355	-1.42541421379761	-4.20803036621074	-0.0639980365398003	4.00612496734462	2.07774592551249	-1.74687993521702	-0.330865990295479	4.25981915386834	-0.260125415659346	-0.630550955930815	-4.96681619583617	1.597673413558
YARS	0.122945072221896	0.015665061366759	-0.138610133588656	0.608233612529743	0.220542663362478	-0.583015309611914	-0.769458039595127	0.523697073314819	0.00213970624221282	-0.275360876069952	0.273221169827741	0.0263860137573459	0.16337451614743	-0.175234308249834	-0.433341097664762	0.418814876009822
YAF2	-1.05966763840521	1.30764806493193	-0.247980426526716	-0.427691014128943	0.387417327213621	0.359539591798457	0.72268888313217	-1.0419547880153	-0.8318357243125	0.476793862596987	0.355041861715515	-1.2593180181281	0.42537348214082	0.0608453978318977	1.08229205477407	-0.309192916618681
XYLT1	-0.33534366676855	0.0644725318010049	0.270871134967545	-1.18358129581534	1.01337677772822	1.02714528588472	0.296206833822637	-1.15314760162025	-0.0467018421719381	0.295403866877149	-0.248702024705211	-1.21857871395606	-0.997679184713149	1.04413996264057	2.55067686124661	-1.37855892521798
