eEFC2	eEFC3	eEFC4	eEHC2	eEHC3	eEHC4	lEFC2	lEFC3	lEFC4	lEHC2	lEHC3	lEHC4
VEGFD	0.108036038905659	-1.86645949281759	1.75842345391194	-0.834945216194551	-1.6575601573668	2.49250537356135	-2.23616182030388	-0.71426102639313	2.95042284669702	-0.628578142543486	-0.234937946363136	0.86351608890662
VEGFC	1.01844033607563	-0.585225979435905	-0.43321435663972	0.0487811067222603	0.169283461359191	-0.218064568081452	0.829148091578135	-0.417269036935816	-0.41187905464232	0.180501195164903	-0.0743908842893548	-0.106110310875549
VEGFA	-0.0593478789927273	-0.190894144636969	0.250242023629696	-0.0322839077247927	0.0519688573076307	-0.0196849495828388	0.141164689582273	0.0403999314401968	-0.18156462102247	-0.393554547248155	0.170060477152536	0.223494070095621
VDR	0.602210170453379	-0.483677754043492	-0.118532416409888	-0.107107064993805	0.4124276108153	-0.305320545821496	0.295783492416949	-0.142520057951365	-0.153263434465584	0.016010680325425	-0.0757173946206469	0.0597067142952219
VDAC2	-2.31903900101558	0.435190288897498	1.88384871211808	0.243761933395138	0.206813172349854	-0.450575105744996	-0.674313999483928	0.416151368741239	0.258162630742689	0.415570456260113	-0.536055307913877	0.120484851653767
VCL	-0.715275741351659	0.24908301726677	0.466192724084888	-1.02490203658994	0.773115877703002	0.25178615888694	-0.324026446579932	-0.186457989728712	0.510484436308642	-0.734220898457753	0.536153047880788	0.198067850576967
VCAN	-0.0672226176941049	0.60252657242634	-0.535303954732237	-1.12957712744032	0.754025986546628	0.375551140893695	0.979884119902334	-0.458835639600641	-0.52104848030169	-0.693562538421432	0.476865318884832	0.216697219536599
VAV3	0.550531328728458	-0.316246918689979	-0.23428441003848	-0.0661089879774108	0.0285757514641634	0.0375332365132472	0.330373486794459	-0.303308733309333	-0.027064753485126	0.0473831324586049	-0.0131673418100982	-0.0342157906485072
VAV2	0.500621489819361	-0.257835497524862	-0.242785992294497	0.327230211874831	-0.0682688809893754	-0.258961330885455	-0.962027999376012	0.205245154454223	0.756782844921791	-0.789333746703223	-0.156871457502765	0.94620520420599
VAT1L	-0.0456172521890839	0.389241240604607	-0.343623988415524	-0.173702195657362	-0.323125121239661	0.496827316897024	1.1521144826713	-0.794244256095546	-0.357870226575752	-0.791557657889719	0.795857544143702	-0.0042998862539827
VASH1	-0.059709585335618	0.0386614699517125	0.0210481153839019	0.31949616969089	0.500945743339457	-0.820441913030347	0.776482553510721	-0.938823362497331	0.16234080898661	-0.985668259669438	0.0569362617475946	0.928731997921844
VANGL2	0.412511628501637	0.140080026411351	-0.552591654912989	0.0681465838706821	0.216621770143357	-0.284768354014039	-0.523423909979812	-0.0876696683588918	0.611093578338705	-0.190657203322166	-0.314981313085234	0.505638516407398
UXS1	-1.31460931341882	0.0926321267859649	1.22197718663285	-0.520506614432021	0.657090409693742	-0.136583795261723	-0.465921299560272	0.43490579187762	0.0310155076826497	0.0666424479248562	-0.269347734565395	0.202705286640541
UTRN	-0.218979282852661	-0.168296129463005	0.387275412315667	-0.239349434818573	0.0422590588055791	0.197090376012993	-0.173747446905007	0.0785005754987966	0.0952468714062098	-0.468957054380671	0.0833162433409553	0.385640811039716
UTP6	-0.682831420996504	0.740440234401083	-0.0576088134045794	0.153435219882985	-0.0432731144544043	-0.110162105428582	-0.575271727822523	0.275091483633252	0.300180244189271	-0.225430307545054	-0.391764614625389	0.617194922170443
UST	-0.337098796760802	-0.258861596846093	0.595960393606894	-0.40765817025382	0.381885468583658	0.0257727016701628	0.137978922820855	-0.123363345149355	-0.0146155776715	-0.530318461835674	0.376825205766409	0.153493256069265
USP25	-0.0260013553157155	0.0757361200477531	-0.0497347647320368	-0.301141918821638	-0.0274322594998369	0.328574178321474	0.192713603668059	-0.10216748711366	-0.0905461165544006	0.0387103910675188	-0.528851910448337	0.490141519380817
USP16	-0.124550378555414	0.174790277351786	-0.0502398987963701	-0.333680557435937	-0.0437793136492903	0.377459871085227	-0.70444779279795	0.151536378083273	0.552911414714675	-0.627156332797185	0.655866675129166	-0.0287103423319799
USP1	-0.984561940615947	0.524530986716492	0.460030953899457	-0.054188520928987	0.492433475416201	-0.438244954487214	-0.14680840701034	0.0623934504331025	0.0844149565772376	-0.608958211072597	-0.118249737150471	0.72720794822307
UROS	0.629539265570639	-0.205481906160456	-0.424057359410183	0.0025759288799847	0.0180910372038348	-0.0206669660838195	-0.195191352750085	0.485938261368796	-0.290746908618711	0.103861109300652	0.0697391804172849	-0.173600289717937
URB1	-0.172881182550622	0.243083465688327	-0.0702022831377036	0.0364014142847013	-0.00885751979558158	-0.0275438944891206	-0.204205108353217	-0.116770443880225	0.320975552233442	-0.301696522706091	-0.0487614939591792	0.35045801666527
UNC5D	-0.44334375358819	-1.14280427377568	1.58614802736387	-0.136584285179278	0.354030307836333	-0.217446022657054	0.184905445312419	-0.583368715046325	0.398463269733906	-0.0431115259368084	0.0640275667599011	-0.0209160408230926
UNC5C	-0.087645814848555	-2.19668752045211	2.28433333530067	1.31970995316304	-0.70858126411736	-0.611128689045678	0.905324452649277	0.0331295457336509	-0.938453998382927	-0.552606492225116	0.233282641239668	0.319323850985446
UNC5B	-2.3804949743858	-1.02476559589023	3.40526057027603	-1.1376784931889	0.60022131699759	0.537457176191311	-1.42301502693207	0.842095467197295	0.580919559734775	-0.449691499394659	0.281747450647119	0.16794404874754
UMPS	-0.395469248887661	0.566514063096358	-0.171044814208698	-0.161865167547052	0.49192711101078	-0.33006194346373	0.0240032942515134	0.0391714478699754	-0.0631747421214897	0.01152836837786	0.248221268149034	-0.259749636526893
