eCFC2	eCFC3	eCFC4	eCHC1	eCHC2	eCHC3	eCHC4	lCFC2	lCFC3	lCFC4	lCHC1	lCHC2	lCHC3	lCHC4
WNT11	-0.633803625549922	0.745513270555717	-0.111709645005794	3.63744658569337	-2.27548922926146	-0.509617368058568	-0.85233998837334	-1.27001081603053	-0.144983008735858	1.41499382476639	0.61896822132562	0.700987724226701	-0.085144304511708	-1.23481164104061
WLS	-0.351540795655318	0.0794906082810272	0.272050187374294	-0.12204291894659	0.827029603880629	-0.924119702208149	0.219133017274117	0.360022074305462	-0.480405285934022	0.120383211628557	-0.555973684097427	-0.446250559470712	-0.807549910657833	1.80977415422598
WISP1	0.603172671714186	-0.100920935193245	-0.502251736520941	-0.230373236271037	0.209455047653381	0.253331683311266	-0.232413494693609	-0.918067850323835	0.614697497329653	0.303370352994182	-0.688677137172522	-0.354152052388018	0.794193924465393	0.248635265095148
WIF1	7.27125822242688	-1.58644778190544	-5.68481044052144	7.11296728982468	2.46932545542522	-5.0338816880547	-4.54841105719521	7.70729034479687	-3.81490361565823	-3.89238672913864	3.46422765923699	1.28775146128117	-3.54376599355309	-1.20821312696507
WHRN	0.0910911365841955	0.0455984530078613	-0.136689589592057	-0.0249932327304357	0.202004364603364	-0.0989159081106928	-0.078095223762235	-0.707954066835154	-0.0927358706716799	0.800689937506834	0.18669966400459	-0.0168315901502957	-0.103051560247422	-0.0668165136068716
WFIKKN2	0.0182319247107587	-0.26944496984084	0.251213045130081	0.852816138555124	0.530276816582659	-0.591373471504939	-0.791719483632845	0.109103263996765	-0.245999332334693	0.136896068337928	-0.10278177297574	-0.0213764002810923	0.18832994231413	-0.064171769057298
WDR48	-0.226582766299593	0.162900066012328	0.0636827002872646	-0.0781285738180708	0.000530469199494732	0.0181221391360351	0.059475965482541	0.253821370692083	-0.199624325589975	-0.0541970451021072	0.107225425483933	0.0601200938836364	-0.241195225049988	0.0738497056824183
WDR43	-0.137457464023745	0.0375667091554472	0.0998907548682997	-0.238702669392676	0.255013864780794	-0.0617177679614596	0.0454065725733415	-1.05024293652096	0.37123501414149	0.679007922379466	0.404467583290831	-0.0517517752216641	0.0353997266547328	-0.388115534723902
WDR4	-0.0843367619072701	0.149797147241429	-0.0654603853341591	-0.0612361703922737	0.132516531021654	-0.263705394318565	0.192425033689187	0.106451348352069	0.0628840736983163	-0.169335422050385	0.0490178028638768	0.0470143435507469	0.0511159209456329	-0.147148067360257
WDR35	0.376038609290524	-0.177924095422247	-0.198114513868276	0.0919574089172599	0.577197572878374	-0.621182781064593	-0.0479722007310412	0.737357687132375	-0.374260714593981	-0.363096972538393	0.141777461788641	-0.105643855498144	-0.0921677588904313	0.0560341525999357
WDR11	-0.138768786114602	-0.151651564717086	0.290420350831686	0.107410957231281	-0.722411674869475	0.0727258816463241	0.542274835991871	-0.396492757431933	-0.0173773035023626	0.413870060934294	0.276545772971321	0.126281785838148	-0.519669483584494	0.116841924775024
WASF1	-1.06400841171222	0.664764209580779	0.399244202131436	-1.19256142972367	0.0349025989044787	0.385620898359873	0.772037932459318	0.571896107184771	-0.202763532369595	-0.369132574815177	-0.282998895389544	-0.166647395683527	0.0320577277288052	0.417588563344267
WARS2	-0.0769599096583828	-0.24268898737501	0.319648897033392	-0.2261134472925	-0.0717161522578333	0.225919445572026	0.0719101539783065	-0.0281610856677554	-0.335909603777006	0.364070689444763	0.292456384027378	-0.0198724106915336	-0.173648140963846	-0.098935832371998
WAPL	-0.645611125871644	0.289762185511144	0.355848940360499	-0.094429202606781	-0.699077380708318	0.549773668850088	0.243732914465012	-0.278331297428756	-0.18498252868392	0.463313826112675	0.405957336268661	0.103666218881282	-0.709387664589807	0.199764109439865
