eFCor1	eFCor2	eFCor3	eFCor4	eFCor5	eHCor1	eHCor2	eHCor3	eHCor4	eHCor5	lFCor1	lFCor2	lFCor3	lFCor4	lFCor5	lHCor1	lHCor2	lHCor3	lHCor4	lHCor5
WHRN	-1.6859152647265	-0.611810304449148	0.598676789064411	1.89673357957798	-0.197684799466742	-0.559813640367067	-0.429923542220718	0.136542951368133	0.718831521616946	0.134362709602707	-0.516962196098639	-0.414518190610991	-0.0582426794947217	0.464409832911842	0.525313233292509	0.410161567952548	0.0348383295467629	-0.170453872176747	0.190166396429859	-0.464712421752423
WFIKKN2	-0.0555254609395686	0.116471703372927	0.0173880903229464	0.150736701281704	-0.229071034038009	0.0521014737307224	0.0708412950382213	0.044494014913269	0.0104549082839613	-0.177891691966174	0.142657768113946	-0.0677930491246319	-0.265463004209915	-0.0213656646918363	0.211963949912437	-0.175400971925921	0.0697527569494912	-0.104253284840466	0.0416921932406531	0.168209306576242
WDR48	-0.0801181544240288	-0.00551278115572806	-0.0461828889345242	0.0392715830823978	0.0925422414318815	-0.218049707161464	0.388926930470642	-0.240434392764123	-0.509098616444261	0.578655785899206	0.249503680929928	0.301593601264121	-0.35605462665928	-0.172093516159942	-0.0229491393748269	0.388880943996577	-0.494681452645452	0.0727695619163384	0.118438156402567	-0.0854072096700298
WDR43	0.103049223928961	-0.315941696799829	-0.183627148810734	0.118564483981119	0.277955137700484	-0.62767969529455	0.413466767288165	-0.203112552316465	-0.560464263201775	0.977789743524626	0.431706214356362	0.662006482986445	-0.510483474154437	-0.358501460565732	-0.224727762622642	0.210349029286295	-0.215507049377962	0.0800281756850101	0.375861353321769	-0.450731508915112
WDR4	-0.302011443228822	-0.201251200098578	0.0117476418829305	0.204642762560215	0.286872238884255	-0.339044949749139	0.510682843995644	-0.490876369672768	-0.322434376823804	0.641672852250068	0.360097298005087	0.306691860231185	-0.317821022522586	-0.219848618762216	-0.129119516951468	0.249599166041889	0.179392732015386	0.279600817016797	-0.393666767435933	-0.314925947638142
WDR35	0.0435717895627654	-0.2243235510524	0.0742132817448926	0.0972281937233257	0.00931028602141559	0.0342130013260604	0.0557539865888685	-0.146915244968135	-0.315650857079505	0.372599114132711	0.353220080212166	-0.334545755307684	-0.351165641896768	0.287548111812843	0.0449432051794432	0.39603802687228	-0.146802997867167	-0.111827953110724	-0.149311653841746	0.011904577947357
WDR11	-0.213521320102713	-0.0589134185611382	0.0503995744192185	0.214451578660481	0.00758358558415129	-0.318626542305822	0.458592146329906	-0.311990683157444	-0.527738043413828	0.699763122547187	0.616402664511764	0.0523830680291875	-0.490117509730639	0.136777807450619	-0.315446030260929	0.233908220957437	-0.336548576397279	-0.252867537251855	0.196414877919365	0.159093014772332
WASF1	-0.306658511338819	0.167421051687987	0.0935425372767966	0.0530003762452873	-0.00730545387125048	-0.131628679182873	0.437641781807985	-0.0520425066184362	-0.499454240446502	0.245483644439825	-0.168976080502146	0.326150615014399	-0.150360121262245	-0.0839536399076515	0.0771392266576418	0.188911594709601	-0.48281983073723	0.117677709856775	0.167187390068172	0.00904313610268215
WARS2	-0.309986403636749	-0.29149631813061	0.257011851631168	0.0304369810547058	0.314033889081488	-0.253585537561975	0.597359624156267	-0.272136539107857	-0.504543655494624	0.432906108008188	-0.360765878909879	0.179800581486138	-0.211819715261284	0.176901347720596	0.215883664964428	-0.0626822459664851	-0.71762075335705	-0.531397940781226	0.31539872203608	0.996302218068682
WAPL	-0.349993643667745	-0.131969658135472	0.099356616221586	0.059533080283213	0.323073605298418	-0.182830330369642	0.340848133463036	-0.475354390191348	-0.623090265666255	0.94042685276421	0.352302680471253	0.00335102928012887	-0.581503154208695	0.2953266509701	-0.0694772065127882	0.116959622342329	-0.451276232392456	-0.122937743001624	0.230109220294112	0.22714513275764
