Tau	D1	D3	D4	Tau_info	gene	names
CALCB	0.502478813402826	6.8443814206495	9.24500099879632	2.3547863133769	MAX_ D3	CALCB	lEmuF
CALCR	0.519991633548955	4.01820410438817	2.69630079480153	1.16124238162697	MAX_ D1	CALCR	lEmuF
CATSPER2	0.559343868214174	2.09296971860197	5.24582350861879	2.53023887207624	MAX_ D3	CATSPER2	lEmuF
CBLN2	0.586608354478207	6.65241274901158	14.1723403634571	5.06504145847732	MAX_ D3	CBLN2	lEmuF
CBLN4	0.665371958002692	4.2189832960571	0.984442139214905	1.83913809994297	MAX_ D1	CBLN4	lEmuF
CCK	0.645628630314474	4.41135447247192	10.8411909033086	3.27226086638354	MAX_ D3	CCK	lEmuF
CCKAR	0.852277996760138	0.698229769445353	0.743853380300888	4.88107092416245	MAX_ D4	CCKAR	lEmuF
CCLI5	0.545243780462622	43.6679513629277	17.8324803060362	21.884064647458	MAX_ D1	CCLI5	lEmuF
CDO1	0.538863616962856	40.8347999832145	21.2623421315885	16.398481801021	MAX_ D1	CDO1	lEmuF
CELF3	0.536578482044157	2.82324499619117	6.15030195190759	2.87711953668843	MAX_ D3	CELF3	lEmuF
CHL1	0.562698004844953	7.37604308158986	4.21411391995027	2.23700279190739	MAX_ D1	CHL1	lEmuF
CHRM4	0.769659495182388	7.49381583585582	1.43001641120078	2.02224223408171	MAX_ D1	CHRM4	lEmuF
CHRNA10	0.560259195851058	3.89220710921539	8.41175474043287	3.50577647850786	MAX_ D3	CHRNA10	lEmuF
CHRNA7L	0.851273422939467	3.28591837186264	0.77272129144237	0.204685492452529	MAX_ D1	CHRNA7L	lEmuF
CHRNB4	0.847768099293526	4.89354989542756	0.969663298611405	0.520245504954406	MAX_ D1	CHRNB4	lEmuF
CHST15	0.500323673370075	15.5388148442939	36.554832273996	20.9923537781928	MAX_ D3	CHST15	lEmuF
CIB2	0.754240324044179	1.49529624062616	1.68332475148933	6.46692949067627	MAX_ D4	CIB2	lEmuF
CILP	0.504454184152905	73.6834579230926	53.7293880239957	19.2976705178724	MAX_ D1	CILP	lEmuF
CILP2	0.641306767126206	112.878122575791	42.4650929627724	38.5121444520972	MAX_ D1	CILP2	lEmuF
CLDN1	0.526658909713749	36.4926383071158	64.4319594438362	24.5039495577341	MAX_ D3	CLDN1	lEmuF
CLDN11	0.655910171144461	19.2770006124433	8.67217138657047	4.593868296597	MAX_ D1	CLDN11	lEmuF
CLDN3	0.514757530249069	20.083330965435	49.3219217883398	27.7828513174375	MAX_ D3	CLDN3	lEmuF
CLIC3	0.9045200555467	0.615679198356306	3.22412838571265	0	MAX_ D3	CLIC3	lEmuF
CLRN2	0.623313966001653	2.20954911633826	2.44030646093287	6.17205730713597	MAX_ D4	CLRN2	lEmuF
CNKSR1	0.589364298711203	13.1957290200224	31.3141986686144	12.521726841144	MAX_ D3	CNKSR1	lEmuF
CNR1	0.687232387227124	22.4011945550851	7.19219162093153	6.82054466757792	MAX_ D1	CNR1	lEmuF
CNTN3	0.58693768325873	22.9759442677118	11.6007666686523	7.38022686842636	MAX_ D1	CNTN3	lEmuF
COL8A1	0.720836853833199	45.8131116942243	11.4820884354482	14.0965763570532	MAX_ D1	COL8A1	lEmuF
COLCA2	0.572658597512337	11.1233755622335	5.01726539719715	4.48969242912657	MAX_ D1	COLCA2	lEmuF
CORIN	0.800935977578809	28.1434841033836	4.89015230155673	6.31455799957604	MAX_ D1	CORIN	lEmuF
CPA6	0.681986325654458	266.212581529495	76.6719742215798	92.646508196834	MAX_ D1	CPA6	lEmuF
CPB1	0.836015162759514	1.63623043852982	4.2096724180743	17.8245225442125	MAX_ D4	CPB1	lEmuF
CPLX1	0.611292489945655	9.71439086012605	3.63160946464224	3.92050390122633	MAX_ D1	CPLX1	lEmuF
CPLX4	0.549736656028527	2.74761399725343	4.17496293197255	1.01205154416038	MAX_ D3	CPLX4	lEmuF
CPNE4	0.608884585503691	13.8634926457585	5.27831766128898	24.4707950614768	MAX_ D4	CPNE4	lEmuF
CPNE8	0.594480479277211	7.7780001067756	4.21655440604655	2.09170734491634	MAX_ D1	CPNE8	lEmuF
CREB3L1	0.530519137357252	25.2676729104892	27.1537937900748	55.829183755733	MAX_ D4	CREB3L1	lEmuF
CRH	0.50736867908431	3.69768129653287	1.52304161340086	2.1201456294716	MAX_ D1	CRH	lEmuF
CRHR2	0.589948099599521	76.2474599379144	111.35813425418	228.758352307194	MAX_ D4	CRHR2	lEmuF
CRISPLD1	0.588564515799867	254.889377494651	375.322644308906	765.869797337419	MAX_ D4	CRISPLD1	lEmuF
CRYBG2	0.639782205568743	2.68882030520409	7.97672153463203	3.05789377079083	MAX_ D3	CRYBG2	lEmuF
CSRP3	0.522826232797436	2.46713721608709	3.40206869371376	0.779618653635511	MAX_ D3	CSRP3	lEmuF
CST7	0.600699453449976	8.70234392647635	5.32489476274334	1.62480660947324	MAX_ D1	CST7	lEmuF
CUNH11orf53	0.646669507756956	2.37445132693005	7.98252186887134	3.2664854356083	MAX_ D3	CUNH11orf53	lEmuF
CUNH11orf96	0.634847126430785	36.4162609140748	10.1548800295587	16.4401246052827	MAX_ D1	CUNH11orf96	lEmuF
CUNH14orf132	0.663423001828423	1.03861993433263	8.74215598260441	4.84619730201275	MAX_ D3	CUNH14orf132	lEmuF
CUNH1orf53	0.540394186325923	487.071865974722	299.303976581164	148.418145976962	MAX_ D1	CUNH1orf53	lEmuF
CUNH21orf58	0.927504481561508	0.782397220498557	1.45632116328892	15.4403915718382	MAX_ D4	CUNH21orf58	lEmuF
CUNH3orf52	0.563687773024303	7.53265365211023	15.3999379960018	5.90570883253616	MAX_ D3	CUNH3orf52	lEmuF
CUNH3orf70	0.533638849951981	109.678294213834	46.5030384983073	55.7963523514299	MAX_ D1	CUNH3orf70	lEmuF
CUNH8orf34	0.579425926416188	18.4623110434541	28.1539623117071	55.4198133968802	MAX_ D4	CUNH8orf34	lEmuF
DACH1	0.70689574675267	5.19947308311135	19.8263465332212	6.42289990737382	MAX_ D3	DACH1	lEmuF
DACH2	0.622101975793125	7.18076846071548	17.9421218194494	6.37981631058249	MAX_ D3	DACH2	lEmuF
DCLK1	0.51519396924179	16.7498371540725	13.4986589493433	31.1964932202976	MAX_ D4	DCLK1	lEmuF
DLEC1	0.535713935684908	1.55064997810209	1.56497969603025	3.35529096563395	MAX_ D4	DLEC1	lEmuF
DLX3	0.651621299061593	27.1273075462874	80.0450752539408	28.6446911206824	MAX_ D3	DLX3	lEmuF
DLX4	0.633128180937862	3.54112231654866	10.342015155	4.04726550881744	MAX_ D3	DLX4	lEmuF
DLX5	0.539682870563138	99.3837446459467	157.582775823992	45.6923573860382	MAX_ D3	DLX5	lEmuF
DMRT2	0.560978866228545	46.8870758450059	60.8754767644825	122.730484161142	MAX_ D4	DMRT2	lEmuF
DNAH5	0.656279230544454	2.27260815881289	1.81897346365948	5.95189756637843	MAX_ D4	DNAH5	lEmuF
DNER	0.775811369950225	59.6150121276314	17.9083743375822	8.8216414610066	MAX_ D1	DNER	lEmuF
DOCK3	0.605321898566814	1.54719518056718	2.31025855646369	4.88683527540973	MAX_ D4	DOCK3	lEmuF
DRD4	0.578120669926568	5.02501093351109	2.5511951857117	1.68870130677096	MAX_ D1	DRD4	lEmuF
DUSP26	0.579878312100117	9.39760794212625	5.33108063615556	2.56519718557929	MAX_ D1	DUSP26	lEmuF
DUSP28	0.576486462665066	0.91208433637182	3.32984123959691	1.90838134791904	MAX_ D3	DUSP28	lEmuF
EDAR	0.654175705737178	2.29832279016085	5.58168564421733	1.56224220725592	MAX_ D3	EDAR	lEmuF
EDN1	0.625512806947204	4.87237988437161	8.15351792965084	1.23439620158956	MAX_ D3	EDN1	lEmuF
EFNA3	0.577402306618835	15.7053182260166	10.0165234799909	3.25753903227267	MAX_ D1	EFNA3	lEmuF
EGFL6	0.541325207655811	251.771645254568	144.449597466801	86.5130167437864	MAX_ D1	EGFL6	lEmuF
ELAVL4	0.54389143404761	10.6340668285132	14.8383459231966	27.9236289922789	MAX_ D4	ELAVL4	lEmuF
ELN	0.589336004371016	1533.34686543998	599.684550690283	659.696150203238	MAX_ D1	ELN	lEmuF
EMB	0.605827143282521	7.60561102121806	19.4563711916015	7.73273580668039	MAX_ D3	EMB	lEmuF
EML1	0.544981471596663	43.9360723092323	61.729266650397	116.111028852396	MAX_ D4	EML1	lEmuF
ENPP6	0.689869259841571	91.9488474394548	31.1631925071323	25.8691357190928	MAX_ D1	ENPP6	lEmuF
ENTPD3	0.642171902941401	1.9682835469836	3.83307661944302	0.774881478246605	MAX_ D3	ENTPD3	lEmuF
ERFE	0.593946182113635	35.6914801860033	11.5481873655788	17.4371362255056	MAX_ D1	ERFE	lEmuF
ESRRB	0.712633084169998	1.22841594144588	1.31682202915196	4.42855080106635	MAX_ D4	ESRRB	lEmuF
ESYT3	0.510479062544702	5.15193862004707	3.35685121798147	1.68711242801372	MAX_ D1	ESYT3	lEmuF
EVX2	0.506668175679579	9.28137453134532	59.0896110418368	49.0201966959616	MAX_ D3	EVX2	lEmuF
EXFABP	0.739975618784849	7.10078548014224	3.69275470123103	0	MAX_ D1	EXFABP	lEmuF
FAH	0.708826784527551	12.3094086649887	4.18348649465214	2.98485370844624	MAX_ D1	FAH	lEmuF
FAM163A	0.510021062085943	3.94151894226561	3.09558124273828	7.18102314250721	MAX_ D4	FAM163A	lEmuF
FAM177A1	0.625896672167565	64.3558861186621	93.1963772806261	210.573191519239	MAX_ D4	FAM177A1	lEmuF
FAM19A1	0.592184115285075	4.67591388771297	2.62538224599683	1.18844167194011	MAX_ D1	FAM19A1	lEmuF
FAM19A5	0.649011727633932	15.5569436653057	5.49947404673048	5.4211355140333	MAX_ D1	FAM19A5	lEmuF
FAM69C	0.694319715838318	17.2439350093576	8.82139059414347	1.72087131330854	MAX_ D1	FAM69C	lEmuF
FAM83H	0.535524071959102	3.18645872048494	7.07100603973857	3.3821654644958	MAX_ D3	FAM83H	lEmuF
FANK1	0.760294147000687	0.949992331968194	3.77456592467914	0.859578757386516	MAX_ D3	FANK1	lEmuF
FGF1	0.68903757084151	3.52776378587878	1.65944780465969	0.534556188048741	MAX_ D1	FGF1	lEmuF
FGF16	0.565411087934923	92.7307579416841	38.7817286471681	41.8177897705248	MAX_ D1	FGF16	lEmuF
FGF2	0.537639728821615	58.1304266764597	26.0551939301334	27.6992057535529	MAX_ D1	FGF2	lEmuF
FGF4	0.648693657681718	4.26895051280624	9.93974834885548	2.71484275919496	MAX_ D3	FGF4	lEmuF
FGF8	0.923463648806535	10.8388446208346	1.54788387777593	0.11124735908727	MAX_ D1	FGF8	lEmuF
FGFBP2	0.616290623993255	155.629184874245	307.238843722602	603.149228999698	MAX_ D4	FGFBP2	lEmuF
FHL1	0.558988405608201	169.892281725169	85.7270049970299	64.121927079925	MAX_ D1	FHL1	lEmuF
FIBCD1	0.72209813610463	30.4307573521036	13.7827682191099	3.13076015668472	MAX_ D1	FIBCD1	lEmuF
FKBP1B	0.629813647581931	58.0152927312383	19.6094766846061	23.3434625166811	MAX_ D1	FKBP1B	lEmuF
FMN2	0.628220446486782	1.35301018336233	1.81652522437575	4.26265427695904	MAX_ D4	FMN2	lEmuF
FOXF2	0.790723892739947	1.80639413884765	73.6122408159614	29.0041722704603	MAX_ D3	FOXF2	lEmuF
FOXL1	0.572727886270881	1.12832809495073	5.77333713285039	3.80524382509687	MAX_ D3	FOXL1	lEmuF
FSTL3	0.616862384880426	113.721129807405	42.6094360291281	44.5322488970973	MAX_ D1	FSTL3	lEmuF
FZD10	0.530574599844	22.4077645661609	39.8126138409846	14.9703398009601	MAX_ D3	FZD10	lEmuF
G0S2	0.755181836146497	2.83092328560203	4.42201310211086	14.8129049608692	MAX_ D4	G0S2	lEmuF
GAD2	0.521992082029457	4.44006312578982	7.8282091579493	12.8327082277486	MAX_ D4	GAD2	lEmuF
GATA2	0.67751328814407	11.3511435879783	27.2826828008788	6.24546174614919	MAX_ D3	GATA2	lEmuF
GBX2	0.594668706919522	3.36199610151677	2.45510302607405	0.270341428244586	MAX_ D1	GBX2	lEmuF
GCG	0.588884645703738	2.15460473333873	5.42434837996103	2.30546107876934	MAX_ D3	GCG	lEmuF
GCNT4	0.619029163398039	11.6428368943318	4.92996885962336	3.94119376448417	MAX_ D1	GCNT4	lEmuF
GDF6	0.717079262373849	45.6709840440671	14.78155066834	11.0609863193793	MAX_ D1	GDF6	lEmuF
GDNF	0.647848113197664	3.87663299180485	5.01294463139751	12.6217946805892	MAX_ D4	GDNF	lEmuF
GEM	0.829290638267064	83.6442862852703	21.1819976369561	7.3757278117749	MAX_ D1	GEM	lEmuF
GJB3	0.543624834406714	9.87719712742829	22.3444533958722	10.517710109837	MAX_ D3	GJB3	lEmuF
GJC1	0.51246702436302	83.9256638780819	141.964442770589	231.666490203598	MAX_ D4	GJC1	lEmuF
GLRA2	0.514363780328051	3.46293754341079	9.52905827103469	5.79237412814723	MAX_ D3	GLRA2	lEmuF
GP9	0.52942417868242	2.50981888930712	1.02309192298845	3.75381676262463	MAX_ D4	GP9	lEmuF
GPA33	0.578049355344638	13.0692845763676	38.4500056004744	19.3787247238773	MAX_ D3	GPA33	lEmuF
GPM6A	0.54338730541444	7.77899069784541	12.5565258928465	22.2677959152551	MAX_ D4	GPM6A	lEmuF
GPR12	0.531457749929483	10.8565614914858	4.27093262325718	5.90258287524219	MAX_ D1	GPR12	lEmuF
GPR25	0.757274041709152	20.8613033954127	5.84981493301657	4.27734478267877	MAX_ D1	GPR25	lEmuF
GPR83	0.665730692645462	7.82813527039909	1.99308774923774	3.24032296019013	MAX_ D1	GPR83	lEmuF
GPR87	0.760622863018792	1.38412510857526	6.52985468152591	1.74207072855876	MAX_ D3	GPR87	lEmuF
GRAP2	0.728597421751952	1.38238750006388	1.83961395255607	5.93583427508047	MAX_ D4	GRAP2	lEmuF
GRB7	0.686726398370535	4.59579802587893	20.8925335118034	8.49436041493497	MAX_ D3	GRB7	lEmuF
GREM2	0.658340153645291	4.75484780700155	6.24157056971863	16.0926408151922	MAX_ D4	GREM2	lEmuF
GRID2	0.611247790635339	3.85354776729377	9.02278718943116	16.5611083957166	MAX_ D4	GRID2	lEmuF
GSC	0.504371504726456	206.938820206351	78.3470872864196	126.782464858693	MAX_ D1	GSC	lEmuF
GSC2	0.523467452347491	3.40648050779449	2.37658220849654	6.06785700659851	MAX_ D4	GSC2	lEmuF
HAND2	0.653492614887802	232.014983738587	450.67787255143	985.105780745428	MAX_ D4	HAND2	lEmuF
HAS3	0.503102929568247	3.91700365960335	1.76370471145438	2.12899057520034	MAX_ D1	HAS3	lEmuF
HBEGF	0.598032716745911	12.146242821812	7.20833356068845	2.55645089696805	MAX_ D1	HBEGF	lEmuF
HDAC9	0.93853478387337	2.02012586101238	2.80614220592767	39.2601569723356	MAX_ D4	HDAC9	lEmuF
HEP21	0.631126262328785	11.4411174602975	5.98426911022733	2.45638641120334	MAX_ D1	HEP21	lEmuF
HGF	0.798692146392332	6.44631966726263	10.7291726592056	42.6597671642304	MAX_ D4	HGF	lEmuF
HHEX	0.605993091643493	149.823353422921	57.3901904880227	60.6726820755162	MAX_ D1	HHEX	lEmuF
HHIP	0.507624281743672	18.8044674664035	10.4661546881278	8.05157166226856	MAX_ D1	HHIP	lEmuF
HMX1	0.652024725638281	61.8128686295151	32.1113503673754	10.9073494735054	MAX_ D1	HMX1	lEmuF
HOPX	0.775888885739472	11.9550834251285	2.61151064709435	2.74702348787189	MAX_ D1	HOPX	lEmuF
HOXA11	0.620449954231611	236.026223600349	95.4365768692817	83.7309510708235	MAX_ D1	HOXA11	lEmuF
HOXC10	0.835154277199622	0.434235328180472	2.9630022427558	10.3042939580853	MAX_ D4	HOXC10	lEmuF
HOXC11	0.889242251647681	1.06799776896239	5.06922098824207	27.7055955384811	MAX_ D4	HOXC11	lEmuF
HOXC12	0.834493267270572	0.965602393562176	5.68254021619619	0.915394936010235	MAX_ D3	HOXC12	lEmuF
HOXC13	0.938620891597699	3.87942973374446	57.3752714209531	3.16385627457179	MAX_ D3	HOXC13	lEmuF
HOXC5	0.885098106349222	3.39129329816126	0.378001259014587	0.401330784753256	MAX_ D1	HOXC5	lEmuF
HOXC6	0.614973450716495	19.7950642911043	10.5562770139775	4.68697357972052	MAX_ D1	HOXC6	lEmuF
HOXC8	0.618000388180975	28.5694797520244	11.7655039306773	10.0615564196123	MAX_ D1	HOXC8	lEmuF
HOXD12	0.506649909682676	301.529726127726	1179.46951244479	1500.96175883938	MAX_ D4	HOXD12	lEmuF
HOXD8	0.752864171030417	128.433355205835	32.028033932088	31.4529334801898	MAX_ D1	HOXD8	lEmuF
HPSE	0.501458327750427	12.9379396265691	6.2010424189419	6.69916169484565	MAX_ D1	HPSE	lEmuF
HRH1	0.714253656664381	14.1628413993568	4.72873171045943	3.36522857175763	MAX_ D1	HRH1	lEmuF
HS3ST1	0.503653087972791	29.4197911960908	18.2559708262349	48.0266532006874	MAX_ D4	HS3ST1	lEmuF
HS3ST4	0.541474846207528	5.22005108162905	3.28043823426918	1.50661121574786	MAX_ D1	HS3ST4	lEmuF
HS3ST6	0.581860880937128	9.50658500967085	11.0367362553986	24.5651749961961	MAX_ D4	HS3ST6	lEmuF
HSPB1	0.510838541441403	117.475031907088	63.3051653495862	51.6233505541917	MAX_ D1	HSPB1	lEmuF
HTR7	0.548757173770784	28.1072525186452	46.6685245707716	82.8553638340095	MAX_ D4	HTR7	lEmuF
HTRA3	0.595434028451899	623.712982053388	164.275329885879	340.390767217306	MAX_ D1	HTRA3	lEmuF
IBSP	0.754199877887073	2.64415560911595	8.89046387123261	1.72639860126314	MAX_ D3	IBSP	lEmuF
ICOSLG	0.708441605817816	2.98363692106738	2.22973405191768	8.94052628395157	MAX_ D4	ICOSLG	lEmuF
ID4	0.681839551104274	184.066713702124	78.76960389513	38.3558926213277	MAX_ D1	ID4	lEmuF
IGDCC3	0.604937195785868	11.7699426406601	4.71086573366065	4.58886735645667	MAX_ D1	IGDCC3	lEmuF
IHH	0.78080552372695	12.0946883915107	89.811716139813	27.2777757733896	MAX_ D3	IHH	lEmuF
IL10RA	0.737653179503719	2.0876698470215	3.97883580801981	0	MAX_ D3	IL10RA	lEmuF
IL12A	0.644866879839171	1.92546422995191	1.0962036511423	4.2542749599443	MAX_ D4	IL12A	lEmuF
IL13RA2	0.531311210203517	13.5822594833738	34.4392448514277	51.2296276124438	MAX_ D4	IL13RA2	lEmuF
IL17REL	0.773693472516905	2.49638756881689	11.7062657174486	2.80202111980351	MAX_ D3	IL17REL	lEmuF
IL20RB	0.503343021790871	2.53735125311687	3.90762324383627	1.34414545141008	MAX_ D3	IL20RB	lEmuF
IRX2	0.581962822055626	9.42133646736677	5.43935355887486	2.43758425968998	MAX_ D1	IRX2	lEmuF
ISLR2	0.643225363390401	3.45249497863539	1.14261617554333	1.32090910725488	MAX_ D1	ISLR2	lEmuF
ITGB6	0.813122074188698	5.83628562349013	1.08769384407145	1.09365205944886	MAX_ D1	ITGB6	lEmuF
JPH3	0.53899175741951	12.2991078925744	5.49970840594339	5.84027182378372	MAX_ D1	JPH3	lEmuF
