Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
CH25H	0.643787893180187	2.77058083929886	1.84568654116049	1.22965279643042	2.24488220385668	5.67836004577402	MAX_ D5	CH25H	eCorH
CHGA	0.585438122835328	31.6283181913134	13.8979399977896	21.4054406235995	24.9405461999748	55.403216065731	MAX_ D5	CHGA	eCorH
CHGB	0.901630570909045	5.43072138173004	4.36347656323287	10.385778151578	82.2174289381465	12.1707500873456	MAX_ D4	CHGB	eCorH
CHL1	0.544415885860432	9.10601061796862	3.85595054141959	3.82038907586773	6.68657127125792	12.8784788462379	MAX_ D5	CHL1	eCorH
CHM	0.527819508755941	14.3387536383818	14.6360000934511	7.92546702971443	10.5288435493636	25.1117237954649	MAX_ D5	CHM	eCorH
CHODL	0.641270143654252	55.6408005112784	36.534883812863	9.86784502623385	6.46137262134035	26.9759640370562	MAX_ D1	CHODL	eCorH
CHRD	0.514547667124282	30.8171428119409	16.4802716053016	17.2067736807542	14.8959968155659	11.2579733808618	MAX_ D1	CHRD	eCorH
CHRFAM7A	0.58092842229248	26.8578457995914	26.2446996897651	24.6352273321546	23.3569790318049	60.3087618148328	MAX_ D5	CHRFAM7A	eCorH
CHRND	0.539173545265557	9.87345477479906	21.5757017891766	25.2870329452833	44.4792945194903	25.2527529007645	MAX_ D4	CHRND	eCorH
CHRNG	0.62142578802093	6.7996605557741	11.9261530973205	15.6598195373154	31.7366169090952	13.6730257585594	MAX_ D4	CHRNG	eCorH
CHST8	0.823916831769696	1.62374788197905	1.05255757775143	0.185181172043822	0.754203777162815	5.13349805844028	MAX_ D5	CHST8	eCorH
CHST9	0.717546776201633	2.81544991349175	4.41995531915063	2.93168490157238	4.62728103578758	13.0945320529989	MAX_ D5	CHST9	eCorH
CKB	0.535440610763552	32.2254387043607	82.6678937234341	101.649014968557	177.77930656399	113.813836908634	MAX_ D4	CKB	eCorH
CLCA2	0.512384081234097	33.3819420417941	38.8716805922652	29.4628644539785	35.1827528973998	70.1880489935157	MAX_ D5	CLCA2	eCorH
CLDN1	0.562598454750725	22.0466908046953	22.3137353395596	20.8654812654167	27.1677929240443	52.8082841368683	MAX_ D5	CLDN1	eCorH
CLDN10	0.724203083686881	2.47332228670281	2.37083046391149	1.88177151348697	1.55695965213073	7.50813680856048	MAX_ D5	CLDN10	eCorH
CLDN8	0.607600878391171	4.74846836458727	5.50455358882116	4.15689291623145	4.83890779121659	12.263548515308	MAX_ D5	CLDN8	eCorH
CLIC5	0.590537634796813	3.36225462134026	4.82401505215699	2.28916417067377	1.79836506192365	0.451226598190231	MAX_ D2	CLIC5	eCorH
CLSTN2	0.503003840457873	7.23644874252856	14.533973401357	17.4132226588036	31.7907999506086	24.0159771342089	MAX_ D4	CLSTN2	eCorH
CNNM1	0.526079164417038	36.7362809029617	26.4227655822407	17.1377409968534	14.2436465450347	11.8362026428393	MAX_ D1	CNNM1	eCorH
CNTFR	0.648292655297209	13.8784219165131	5.87613052550078	5.1501085520183	18.3553094782912	30.749976595513	MAX_ D5	CNTFR	eCorH
CNTN5	0.528867278874205	4.53060576492425	7.09417245682673	6.31494034006515	14.5677058855391	17.2496108791155	MAX_ D5	CNTN5	eCorH
COCH	0.638595840527587	0.590755789247048	2.89107683565649	5.11295636263064	12.6734822161598	14.7122484940004	MAX_ D5	COCH	eCorH
COL13A1	0.605084140386327	4.98822383952733	6.2897677581093	14.0979411913724	23.2997805061947	11.4298786006461	MAX_ D4	COL13A1	eCorH
COL17A1	0.67232908306365	19.7805545626877	14.3846852791687	13.6812214382702	16.7061905317901	49.2511300785172	MAX_ D5	COL17A1	eCorH
COL19A1	0.616773976065331	1.07103794698485	1.80626407187358	2.11101295240221	3.56169809398505	5.57765687299936	MAX_ D5	COL19A1	eCorH
COL25A1	0.552347014557404	24.4672619781288	19.0897431252409	10.7804744935356	15.7704479101616	39.1530548141832	MAX_ D5	COL25A1	eCorH
COL6A3	0.76313223196747	4.38143864355253	6.62742585355099	7.17282504094577	9.04175841096825	28.7327484181795	MAX_ D5	COL6A3	eCorH
COL8A1	0.697754280079648	5.93900456377696	5.15570969728913	3.95518969228145	5.98671522975761	17.4002622672777	MAX_ D5	COL8A1	eCorH
COMP	0.674290348887265	4.54522882794266	2.2388580156117	1.88779427875365	1.67465424077393	0.120393047967724	MAX_ D1	COMP	eCorH
COMTD1	0.519579531423144	2.84470433110886	4.36665666584246	6.42421073894373	2.58371185100099	2.55021648580696	MAX_ D3	COMTD1	eCorH
CPA6	0.56085120484788	28.8081314066289	39.110210655734	36.7526728259741	56.450123325198	91.723545636578	MAX_ D5	CPA6	eCorH
CRYAB	0.701989038495413	4.60601403721444	7.96278036793038	20.5203865430366	44.39126804775	19.8271569450898	MAX_ D4	CRYAB	eCorH
CSRP2	0.630919793031808	592.363387740048	367.625755048565	293.744146991255	536.327321344067	1212.51463592994	MAX_ D5	CSRP2	eCorH
CUNH11orf96	0.511723574073273	21.5349008184067	21.8137049537594	59.7184746895218	67.6729094732522	29.1052650169622	MAX_ D4	CUNH11orf96	eCorH
CUNH15orf41	0.520158162424142	34.7337088468781	51.2639322692243	37.884962705834	39.3337439722108	85.0365344436772	MAX_ D5	CUNH15orf41	eCorH
CUNH1orf116	0.551282823207673	4.25063794205938	6.33375258501628	4.19811477947925	6.21579890502694	11.6990753294141	MAX_ D5	CUNH1orf116	eCorH
CUNH1orf168	0.692558370675588	1.05794590685278	3.78028141384015	2.82988376940194	3.06140023088612	8.72483611324739	MAX_ D5	CUNH1orf168	eCorH
CUNH2orf82	0.556705477945866	6.65355265216576	21.646606766989	37.6573214496199	32.1359009867893	6.33707684944853	MAX_ D3	CUNH2orf82	eCorH
CUNH3orf58	0.589422029464493	18.818588456789	24.0399101633782	24.5992238378511	30.2991584632609	59.5239442545939	MAX_ D5	CUNH3orf58	eCorH
CUNH4orf22	0.638184732477658	2.2684313695449	0.774277898420027	1.16507435319007	3.65551671261861	1.08270340807898	MAX_ D4	CUNH4orf22	eCorH
CWH43	0.672898264950987	1.65747196409781	2.33809284034702	2.05774893152222	2.27703627935326	6.3667883128716	MAX_ D5	CWH43	eCorH
