Tau	D1	D3	D4	Tau_info	gene	names
CUNH11orf87	0.66041802137646	2.16811911272127	6.31647211787622	2.12180108669639	MAX_ D3	CUNH11orf87	eEmuH
CUNH1orf53	0.732918081023419	884.286944724263	301.909180890427	170.44492735536	MAX_ D1	CUNH1orf53	eEmuH
CXCL12	0.633320830153974	47.4410062384665	142.330141352207	56.9379899117232	MAX_ D3	CXCL12	eEmuH
CYP26C1	0.949015211609411	7.70747433791044	0.357995859356552	0.42793203693197	MAX_ D1	CYP26C1	eEmuH
CYP2J19	0.621106653055463	3.2437024398304	2.31644740290359	7.33735480917259	MAX_ D4	CYP2J19	eEmuH
CYP3A4	0.565230602185021	2.21928556582149	3.51302400691014	6.59235631755651	MAX_ D4	CYP3A4	eEmuH
CYSLTR1	0.614268188930054	1.77779557438935	1.49374489190546	4.24069310905443	MAX_ D4	CYSLTR1	eEmuH
CYTL1	0.751983442365939	30.5829352547576	182.091238085844	59.740348835993	MAX_ D3	CYTL1	eEmuH
DACH2	0.764224903279538	32.0208547247201	8.2736243174151	6.82581592217041	MAX_ D1	DACH2	eEmuH
DACT2	0.743585444787736	411.083463151922	95.820437472442	114.995129245992	MAX_ D1	DACT2	eEmuH
DAW1	0.629932928864906	0.522534279138993	3.598752195883	2.14102509060383	MAX_ D3	DAW1	eEmuH
DCDC1	0.517912225899142	4.59062859746291	1.52159382026579	6.33932527030851	MAX_ D4	DCDC1	eEmuH
DDI2	0.614567277223508	5.50089186130258	6.00086128604597	14.9205716947109	MAX_ D4	DDI2	eEmuH
DDX58	0.631720497858246	1.12368187151079	1.48352400729797	3.53971082241393	MAX_ D4	DDX58	eEmuH
DKK2	0.569025696503806	70.1498012822039	37.8300674303386	125.274137966669	MAX_ D4	DKK2	eEmuH
DMRT2	0.672056124088775	25.3205107289124	40.648726941874	100.580072561935	MAX_ D4	DMRT2	eEmuH
DOCK3	0.731849310403423	0.713862432098923	1.9704006160352	5.00513918530753	MAX_ D4	DOCK3	eEmuH
EFCAB11	0.595005631094014	2.40572410254165	7.42945186600794	3.61204823704092	MAX_ D3	EFCAB11	eEmuH
EFCC1	0.501049234956675	44.8083373542357	38.4836528553825	83.4671434990041	MAX_ D4	EFCC1	eEmuH
EFEMP1	0.501594236119366	108.287998557079	215.848755902757	106.872529579717	MAX_ D3	EFEMP1	eEmuH
EFNA3	0.502973655952566	8.82147001456137	5.2929255910595	3.47608038986351	MAX_ D1	EFNA3	eEmuH
EPHX1	0.510629083346254	5.43924158711339	3.18618828696804	8.81277327743645	MAX_ D4	EPHX1	eEmuH
ERICH5	0.513080393759885	4.77074521907955	7.31484298143879	12.4102501168936	MAX_ D4	ERICH5	eEmuH
EVX1	0.669885499474322	9.11572109299516	6.36837125372936	23.4526085980281	MAX_ D4	EVX1	eEmuH
FAM129A	0.619189565005636	18.1651558246062	16.0224412748431	44.8879468073863	MAX_ D4	FAM129A	eEmuH
FAM163A	0.544548820641455	2.23402645259664	2.2518236263442	4.92462231106602	MAX_ D4	FAM163A	eEmuH
FAM181B	0.527984659406576	91.5150300714704	54.6572914808947	31.7357046963104	MAX_ D1	FAM181B	eEmuH
FAM189A2	0.582609772383099	1.66010795167556	3.60879122780389	1.35244043231432	MAX_ D3	FAM189A2	eEmuH
FAM198B	0.611804461707455	2.04561521421819	5.23425915681806	2.01821688766915	MAX_ D3	FAM198B	eEmuH
FAM19A1	0.67576877736323	1.7699538676704	1.16864206293689	4.53163626055123	MAX_ D4	FAM19A1	eEmuH
FAM19A5	0.512533380550043	2.5613622569876	5.24556000152633	8.00764805939228	MAX_ D4	FAM19A5	eEmuH
FAM84A	0.611121605150754	1.46748919827326	1.12791229645768	3.33703482773462	MAX_ D4	FAM84A	eEmuH
FBXL13	0.615054894342366	2.56990931308574	3.19524472831045	7.4882807401163	MAX_ D4	FBXL13	eEmuH
FGD5	0.526413471512813	3.47292553426785	5.04092312079825	8.98869387423511	MAX_ D4	FGD5	eEmuH
FGF13	0.665158114485945	2.62535190658267	4.4431776656426	10.5550259361572	MAX_ D4	FGF13	eEmuH
FGF6	0.574568101886943	3.19584068967111	1.92408568219252	6.01732779626109	MAX_ D4	FGF6	eEmuH
FGF8	0.533418527667979	8.00415447232365	14.7587033861932	5.76812063895957	MAX_ D3	FGF8	eEmuH
FGL2	0.566763826142562	2.15995616129544	0.67613452687488	3.27314621828367	MAX_ D4	FGL2	eEmuH
FIBCD1	0.503279578033973	16.4482574389957	8.13019916173969	8.21017158966788	MAX_ D1	FIBCD1	eEmuH
FKBP6	0.549424064088427	2.01017563387619	0.694257720378743	3.00108498779847	MAX_ D4	FKBP6	eEmuH
FOXC2	0.600397595841201	1.74425768336063	5.89578783940314	2.96768430671078	MAX_ D3	FOXC2	eEmuH
FOXF2	0.730902150430191	3.55657662587067	21.174545472586	7.8394726787114	MAX_ D3	FOXF2	eEmuH
FREM3	0.513696499158411	8.00605887959702	5.97679585122392	14.3766749639088	MAX_ D4	FREM3	eEmuH
FSTL3	0.721885102606467	12.7100535005035	2.55271295381137	4.51699749650632	MAX_ D1	FSTL3	eEmuH
GAD2	0.606937904245417	1.9566430445623	2.26749920460344	5.3733777624327	MAX_ D4	GAD2	eEmuH
GAP43	0.684560918859715	1.58272918848317	1.31614981518055	4.59499024848875	MAX_ D4	GAP43	eEmuH
GIP	0.7959950065079	0.978569736075996	3.59340112583385	0.487573810504484	MAX_ D3	GIP	eEmuH
GIPC2	0.714598688313384	1.73821995703334	1.21072111444395	5.16630609377746	MAX_ D4	GIPC2	eEmuH
GP9	0.901462867876284	0	3.31195076442974	0.652700260123711	MAX_ D3	GP9	eEmuH
GPC3	0.725410461204046	30.8629584390354	120.59992635519	35.3679978743599	MAX_ D3	GPC3	eEmuH
GPC6	0.565420785191184	4.48482482721791	7.23788945294362	13.4874309224829	MAX_ D4	GPC6	eEmuH
GPR17	0.651167760314776	2.21614711728986	6.44150424038364	2.27786158493992	MAX_ D3	GPR17	eEmuH
GPR182	0.705226955591702	1.00126749255694	3.47251250267887	1.04593867176412	MAX_ D3	GPR182	eEmuH
GRAP2	0.709052273468311	4.05438667156648	3.70695406660943	13.3380329702122	MAX_ D4	GRAP2	eEmuH
GRB14	0.625586807223248	5.97844346362252	3.19570629084541	1.28110991925501	MAX_ D1	GRB14	eEmuH
GREB1	0.513586418573716	1.6037425278444	6.08122779720524	7.89962556402662	MAX_ D4	GREB1	eEmuH
GREM1	0.520670951639799	33.9844862977127	24.8149464842672	7.76455646791862	MAX_ D1	GREM1	eEmuH
GREM2	0.511713099378605	1.14454454926214	5.3178853462453	4.04876295789396	MAX_ D3	GREM2	eEmuH
