Tau	D1	D3	D4	Tau_info	gene	names
CILP	0.565177724004157	5.94048786518203	9.3196883263406	2.16432831408059	MAX_ D3	CILP	eChiF
CLDN19	0.659460476715546	10.8036178009826	5.66797668119335	1.69014103019477	MAX_ D1	CLDN19	eChiF
CLYBL	0.53119173078095	9.37215888537353	2.86823232093775	5.91925885085807	MAX_ D1	CLYBL	eChiF
CMPK2	0.522694088302895	3.47547266238998	6.40447254644829	2.63831255305318	MAX_ D3	CMPK2	eChiF
CNNM1	0.755421023302198	63.5552241727008	24.1124538001855	6.9760895837317	MAX_ D1	CNNM1	eChiF
CNTNAP5	0.506416480644798	1.89517089189155	4.0752506148458	2.12778218956853	MAX_ D3	CNTNAP5	eChiF
CPEB2	0.615884858668217	2.68243873343966	6.66732495382076	12.1705221705703	MAX_ D4	CPEB2	eChiF
CPZ	0.562915096361826	3.37296407496549	2.91239302159715	7.19008714810905	MAX_ D4	CPZ	eChiF
CRABP-I	0.578190039706208	708.357422882518	338.919581127008	258.664851712767	MAX_ D1	CRABP-I	eChiF
CRACD	0.55683433291641	1.0020287101639	3.81929955421841	5.43964551237778	MAX_ D4	CRACD	eChiF
CRH	0.546602606520654	1.66048165029051	3.34803406992269	1.37549819087548	MAX_ D3	CRH	eChiF
CRIP1	0.566432996869537	20.4011691474014	9.93402916283209	7.75651837236087	MAX_ D1	CRIP1	eChiF
CRTAC1	0.539283133395738	58.2644156072308	32.4840139477447	21.202784038439	MAX_ D1	CRTAC1	eChiF
CRYBA4	0.665357880618984	4.8687249024353	1.03080089668243	2.22775994338573	MAX_ D1	CRYBA4	eChiF
CSTA	0.645535905923055	4.31856480710817	4.5551466658904	12.5170808853101	MAX_ D4	CSTA	eChiF
CUX2	0.543658929746745	6.79027051362665	8.72407641350659	16.9986310004086	MAX_ D4	CUX2	eChiF
CYGB	0.580790599101471	226.325319367405	123.58572334096	66.1696797393961	MAX_ D1	CYGB	eChiF
CYTL1	0.533039837080982	146.384958104584	626.595204593061	438.805039537518	MAX_ D3	CYTL1	eChiF
DACH1	0.640117293990473	44.1536777955082	18.0273188109263	13.7529712797142	MAX_ D1	DACH1	eChiF
DACH2	0.571288083684615	29.2762851825848	12.3385590761419	12.7636255703014	MAX_ D1	DACH2	eChiF
DACT2	0.543098825293805	193.98514794986	83.2911524299909	93.9729315177012	MAX_ D1	DACT2	eChiF
DCLK3	0.689301463779301	4.35910450592311	1.53053161171954	1.17820316672719	MAX_ D1	DCLK3	eChiF
DEXI	0.589020034251786	4.23020240919172	1.75684540005977	1.72021148241548	MAX_ D1	DEXI	eChiF
DKK1	0.73639442444072	42.0331276085903	10.7734502994404	11.3868832921978	MAX_ D1	DKK1	eChiF
DKK3	0.591361720225908	43.0452638362333	58.998552765879	124.858366987211	MAX_ D4	DKK3	eChiF
DLX2	0.579921903213159	3.53890290808236	1.52738322361933	1.44584797306198	MAX_ D1	DLX2	eChiF
DLX5	0.62209422015073	261.326162165246	77.2199573871231	120.293376829025	MAX_ D1	DLX5	eChiF
DLX6	0.746328346938197	60.6603491100184	7.40296122068892	23.3726608474	MAX_ D1	DLX6	eChiF
DMRT1	0.923774075763781	13.1882578209322	0.881418445629831	1.12915583730236	MAX_ D1	DMRT1	eChiF
DMRTA2	0.875564624215279	4.46412832143832	0.489812062556633	0.621178907902153	MAX_ D1	DMRTA2	eChiF
DNER	0.730177342726495	27.9660542607624	8.10081883651593	6.99093131167194	MAX_ D1	DNER	eChiF
DPYSL5	0.508129592149493	10.9996637970017	20.7251092063403	9.38847203913611	MAX_ D3	DPYSL5	eChiF
EDIL3	0.6405392643454	11.4455930971759	4.68879962670426	3.53968300272385	MAX_ D1	EDIL3	eChiF
EDNRB2	0.814336270296438	7.2047197662678	0.921990741980379	1.75331954456813	MAX_ D1	EDNRB2	eChiF
EFCAB1	0.549589848575511	6.48869481684558	3.0683910455788	2.77675698442663	MAX_ D1	EFCAB1	eChiF
EGR1	0.660355630004492	1.30911044825559	8.72072350648962	4.61477883427777	MAX_ D3	EGR1	eChiF
