data$Gene	MmFC1	MmFC2	MmFC3	MmFC4	MmFC5
TCL1B4	0	0	0	0	0
FGF20	0.675355707204609	0.384053973128576	0.424268335014093	0.847203555074866	0.589327304867144
EEF1E1	34.890751003397	35.7048426498595	36.7200307058483	37.1360456468965	36.7454718914612
DNAJB13	0.0892768160907941	0.0552157527898017	0	0	0.0226031746620561
PRSS55	0	0.0226248494532525	0	0	0
TTYH3	584.208967180788	520.810573216907	492.791292682118	525.693927234368	519.862313469388
XLR	0.330516119166338	0.359012306875922	0.239160142156629	0.0931457883186453	0.101758872321833
RPL3L	0	0.0144870604497188	0.0349789176514084	0	0
ACP6	30.2518327288898	29.1131420344544	29.4510408890049	27.5497580069076	29.3687914973742
OLFR734	0	0	0	0	0
GIMD1	0	0.05966407616456	0	0	0
ADAM15	36.195551242376	27.6757970337281	27.9498380219057	32.7864725234507	26.5377385133866
RND1	0.982465313323863	0.815697564957902	0.966613538035289	0.911043837945711	0.678402914373826
ARL5B	228.625057406834	263.539189852851	275.388530787058	238.108842995236	254.140475865666
YBX3	219.516395376363	194.039370456998	204.728257417566	216.971017857568	221.443413367427
CAPRIN2	50.7294234625796	54.9077905068566	52.5585490190984	43.3846978860577	45.5155649660416
SLC27A5	0.202090063763495	0.145739471873319	0.150850615949703	0.0449806232005345	0.126556676867053
PTS	27.8530330097613	31.0480929938152	30.8377413645049	29.4582129266933	27.084621699874
GM5072	0	0	0	0	0
GM8914	0	0	0	0	0
KCNE3	10.2877351902096	7.7366240211722	9.83382482483278	6.92767017260004	8.55086420936508
PSMB1	199.730871006394	200.167840973749	189.559425969719	209.880112371215	208.677986298939
TSSC4	59.4676757374964	52.2828493923213	49.577620015948	53.358392937511	60.2379749501007
TRAPPC3	79.3563661009347	70.9909004491178	68.1068789409459	72.4165825656711	71.8678179531378
GSTT1	11.3868601952228	17.5795341110498	20.0732938791491	20.3725779660271	12.762936156423
ZFP523	96.9677090441538	87.5788585690284	80.2095989603302	89.3647067940111	91.9808518810302
SMU1	140.534682972047	141.692817328693	146.566960568747	150.301941383098	154.388942318866
TCL1B1	0	0	0	0	0
MRGPRB5	0	0	0	0	0
CCDC77	46.7533694042633	50.8118622035594	46.8492480568511	41.4003985753346	45.1402818654986
MT-ND2	2112.45451799304	2041.51166862507	2333.48008661596	2470.73810326423	2071.89970630767
