data$Gene	bud_OF	bud_OH	eOFC2	eOFC3	eOFC4	eOHC1	eOHC2	eOHC3	eOHC4	eOHC5	lOFC2	lOFC3	lOFC4	lOHC1	lOHC2	lOHC3	lOHC4	lOHC5
PIEZO1	4.16514825	3.413234209	9.003542502	9.754120477	10.50733388	13.72534462	16.30796462	12.70746764	15.98492089	14.22912662	13.51052857	16.3300468	13.48430753	13.13823973	14.50551158	14.61666932	21.91910289	11.69045622
PIEZO2	0.745196089	1.13837877	24.52078707	22.75211419	18.95219229	40.58048937	31.74928925	45.01167054	47.82428322	27.41524068	22.46621538	35.93202319	28.10202243	23.78361961	52.16934464	40.03497184	57.44042679	29.4183211
PIF1	27.87658398	24.14665805	16.71293692	13.63941794	13.04450924	10.45443188	14.49791839	18.93270085	13.4757506	16.45374653	15.64487071	20.97597175	18.21591344	18.00967706	18.34732747	21.49855449	20.68155808	22.73887057
PIFO	0.912357087	0.291974525	0.57325365	0.832012273	1.425621304	0.913126565	1.804732091	1.999213089	3.140081778	0.915537046	1.31569521	2.250470327	0.905877175	0.245617357	0.852809844	1.895991319	0	0.870723327
PIGB	35.88386397	36.01393062	48.91159654	51.23047469	39.93805428	41.29981122	40.67650132	45.13707673	55.44325942	42.18800987	52.45873511	52.49601694	49.78971356	35.86920456	47.22598626	45.35718097	45.19103021	47.0246435
PIGC	20.96346056	22.68499271	39.07231698	37.7567184	41.63203093	30.07414339	30.60512521	31.75368801	32.83171433	40.25158057	24.96785261	22.96059391	29.87586369	64.0748812	30.56964275	22.42603178	20.53413214	76.36777035
PIGF	35.90997041	42.2035171	39.52388332	37.82607244	33.89883619	34.06534761	42.57277496	40.93370749	38.95551226	35.80802858	41.05461334	53.17299189	38.95268348	26.99442782	39.14777729	41.26751227	37.24081552	30.79433093
PIGG	13.62789658	8.590174649	4.569927531	3.915763467	4.482806857	4.286098323	4.454221137	5.647909915	5.376666718	4.236345956	10.65859516	15.11936701	14.00042818	10.92795342	15.34035474	16.48339843	12.63192208	13.69101133
PIGH	17.27318523	15.1489378	11.26337908	13.44612041	11.96402308	8.879824233	10.61436231	14.87803864	12.27387879	14.89492342	14.02060071	12.8354398	13.50260878	12.47497268	11.62127255	12.99292098	11.13739829	11.77969745
PIGK	49.80280897	43.1821283	32.38351118	36.54670391	34.49105223	32.09664951	36.07284353	44.97183603	40.35208002	35.81129032	39.57644122	41.23139801	38.46456104	34.06894052	42.56338965	43.20376629	38.17109389	35.82106538
PIGL	14.6275196	13.37763345	16.17113577	13.43761414	11.8086216	13.22341757	10.00440223	11.3397844	10.58781852	13.25467363	13.09377631	12.92299003	12.34147233	12.79385728	12.92631672	12.16510329	10.11019658	12.20585256
PIGM	6.102636925	4.233637025	5.356224226	5.058220171	7.61106139	6.088621936	5.771628783	3.961049067	8.003976283	6.669995265	8.176761409	6.3611413	8.175201349	6.033860025	10.96464338	9.250185885	6.53573221	8.523833525
PIGN	10.01324882	10.94827708	12.71475239	13.00009487	11.65004294	9.599473187	11.43540084	12.34172012	12.54808961	13.38110997	18.18605344	14.36908644	15.13482542	11.10064827	12.43741178	12.82912906	12.52771377	12.76746101
PIGO	8.143381666	6.485582613	25.49044892	23.73227738	23.15286649	28.06573693	25.78171247	27.00092458	28.88298299	31.27396334	17.27772281	23.46467124	26.20100066	12.174775	15.05897913	14.99888064	17.85124521	16.94521327
PIGP	43.34518869	27.55589192	22.97119428	22.81727939	16.58024767	21.6158383	26.85710462	29.54500906	28.37005758	23.66473435	20.91218012	32.08425424	29.13049567	24.81269806	28.46003208	27.97371408	32.46586545	28.03536909
PIGQ	6.725591073	6.141954187	7.567278093	6.808129017	5.824386203	8.162158168	8.708358074	10.03148179	9.055620369	8.809376086	13.06210108	12.32948569	12.54583333	9.68425467	13.32962308	12.07184347	10.46553366	12.95464257
PIGS	22.49262291	24.45285409	71.55419403	61.46024048	64.91682973	73.90704651	55.38089686	53.95208801	54.44410919	59.80955617	69.4230655	71.11364202	64.85216975	71.09301754	72.51975586	65.46412397	64.63341933	69.37466124
PIGT	98.2427792	118.1054332	100.2203342	86.73396432	98.10559887	91.71540034	82.66510267	84.1633526	83.01393547	101.5237241	77.89156894	79.81362124	80.78373555	88.23469632	85.3713565	79.79717984	79.79570211	90.01451934
PIGU	18.37087404	15.71750897	23.96309196	21.78897967	20.04806316	18.46791945	20.42729383	21.21352962	18.01270117	18.25778792	24.44229638	22.43786738	21.27014079	19.08805107	23.78722073	23.24725773	22.97932772	20.85181404
PIGV	24.0142007	22.47764829	25.33035972	20.91434937	24.25473512	23.77821603	22.06386535	23.39874462	21.88080115	26.13585942	28.89369796	25.2444913	30.64913872	23.42314037	25.17783025	23.58432827	25.26149105	27.88576395
