data$Gene	bud_EF	bud_EH	eEFC2	eEFC3	eEFC4	eEHC2	eEHC3	eEHC4	lEFC2	lEFC3	lEFC4	lEHC2	lEHC3	lEHC4
GABRP	2.54082296586223	2.58764573844794	9.03083863710231	3.2945358051969	3.41221985529528	2.8035961538338	3.3064755606532	2.68805623735806	4.65487594287783	5.9634450867272	5.83277064491477	8.32935765901014	8.02580224208232	8.17611085398031
GABRQ	0.902811475170774	0.723861983405934	3.47660305150525	5.95073581584235	3.32848487615687	3.07720174853405	2.41413431438632	3.11767456720128	0.838170841609341	1.10333568955549	0.915524616471049	0.659400521492987	1.09604803753026	1.22967415668258
GABRR2	5.29329282869999	5.2497820027863	5.06603228284017	3.08862032267023	5.78190760917433	5.34776262493415	6.77814203985682	7.74143632515984	9.78441755136305	6.57826130601819	8.6940389950905	8.9146405618122	8.55392978274141	8.35455363590552
GABRR3	0	0	0	0	0.604812039938346	0.162270123112924	0.760937840415119	0	0.13797707081808	0.651224759432089	0.804351024954698	0	0	0
GAD1	0	0.150237669106731	0	0	0	0	0	0.123976054329281	0.185477401484121	0.579894983211608	0	0	0.128657566061477	0
GAD2	3.67868163357537	3.450830258958	6.62110593984865	3.32886716461859	4.38064817050303	1.9566430445623	2.26749920460344	5.3733777624327	4.44006312578982	7.8282091579493	12.8327082277486	1.42080380488875	3.34633001168324	2.53141094422146
GADD45A	9.37721911262411	14.6040105888768	12.7696515729584	15.4795221914509	24.9666574832117	11.0316729490007	17.2475632438493	15.3591762821362	25.8730693321377	37.7830775958508	45.6030876418248	24.8530459995408	21.8589139496751	18.1060722520735
GADD45B	13.1794001860075	17.2115323297776	62.9890924440257	43.6888647602728	31.8563320999681	57.9234216187404	28.322947219452	42.7460196602331	37.3407825417571	61.7517271698916	32.6981659808262	36.2224997530811	58.5975233956111	47.0779853662942
GADD45G	26.090713147502	25.9647061588468	43.3570749426806	25.8920965098111	19.4081827476658	47.2213609522419	39.9950228251514	55.2972969005534	47.6619585951165	45.1534238588282	82.0311792762639	24.3996341093606	23.9100353578201	29.498427970047
GADL1	0.91998257144682	1.15985410568122	9.59683388230588	1.73887076622396	3.54914678700072	5.54000247187176	1.8358325094048	5.11174146832379	6.63483996559802	6.68236134156994	5.48914115611153	5.42329219915699	4.0355192883993	3.90730707662195
GAK	15.1876825631838	16.5371594487695	23.5752989223046	21.0226652409382	16.2770438740215	13.6011356750924	15.3132057526905	15.3879718722009	12.4643320124501	11.4609319723013	13.7915943430882	24.6329604561798	28.3339628212957	25.502413334204
gal	1.78552745379547	0.967423558969946	8.69413486847879	1.31077983467905	0.215725332900438	3.32422067593479	1.31758041280574	3.36709107038981	3.36281529236219	5.14084441118315	7.0180283995077	0.550413926348526	1.66640999184288	1.75307338841187
GAL3ST1	0.398832034162582	2.17055094244963	2.13601436287025	7.49487948173854	4.03693859749364	6.15662347136393	9.14291809567392	4.20305120167287	10.451646430848	15.1714593955113	11.9296223142803	2.15597515221887	4.47619618246847	2.8474103904441
GAL3ST2	0	0	0	0.519966163409103	0	0	0	0.479053103136445	0.358349542673205	0	0.237291697004595	0	0	0
GALC	14.1633405627734	21.980349723386	55.0945408925771	69.1953586176444	66.1812413815518	35.0859874517375	45.2292362649263	42.2522643457292	52.5667676896308	51.5016738310045	58.7330345723973	40.2277608800275	43.2243676685013	49.8154672602764
GALE	74.4020210303179	61.2520902309878	64.3118361201668	64.3251733291278	58.0000940935924	58.1404027195209	65.2878550991516	55.1957488623364	71.9377045836773	91.4190865622167	78.6382358050951	48.9158117095047	45.9109021369882	45.2204182764146
GALK1	51.5265011216405	50.4641920714632	32.0778014050856	39.5581992414191	49.5684951895642	34.7505496443742	20.7914682046222	29.3160381601246	49.2873165363077	45.2028876822332	45.7128872421232	47.7254265174827	48.3398372733221	29.7064889713778
GALK2	28.0847090630321	26.5585688089311	39.9596877674932	37.1066808488336	34.4916649342447	31.7192411893663	34.4513708289948	35.5686778875189	37.8370457534223	39.8532235789901	42.7637035908264	40.1168469045615	43.0195188930377	40.491648515609
GALM	51.1699290407842	66.4725321416445	62.4431074643078	61.7046756199768	49.9550306719776	39.451791538869	48.5979589869151	49.7592209367676	91.832631329294	84.3014201794328	88.5498362843099	64.1732424162952	71.4741221191258	49.5752204626896
GALNS	30.5015555593974	34.1423288063077	50.9895634261478	39.3198051089985	33.0334734496334	22.5635394558489	31.1110589801675	33.651594310652	39.4623479589637	52.0573775128654	48.2930833392173	33.6498040639225	37.6199538823586	46.0571818754961
GALNT10	20.5369507616803	23.6418995984859	25.6955569993842	26.3533811766369	28.7189766723248	17.3929574193494	25.8995345061505	23.2303464258669	26.7186982531314	27.5565280137925	30.5718433715794	22.057285688207	28.0729867576501	31.6510741531711
GALNT11	41.5535840675819	41.6808719875236	57.2463699346742	48.2750033139249	42.2655858382346	49.7860519235886	50.1534036615531	45.2305570537081	71.8785707031441	54.9723386597862	64.7457689298255	47.3123894295095	47.8631786252944	46.8375498171122
GALNT12	16.3791681025839	22.8097257032923	23.9338597449605	24.387374324676	18.2961736302816	34.6344954731909	34.6199562036122	35.5213591970054	26.4658950169997	20.9198220619861	23.7221718692044	22.1760082381576	19.4604873380992	22.7994856791442
